"Отметка времени","What dorm do you live in?","Your dormitory living status?","How would you rate the access system to kitchens?","How would you rate the access system to laundresses?","How would you rate the access system to common areas (fitness, gym, etc.)?","How would you rate the internet service?","How would you rate police services?","How would you rate the organization of events in the dormitory?","We would like to hear about your experience living in a dormitory. Please share any specific problems or difficulties you have encountered!","Thank you for your participation in the research!
We will be glad if you appreciate the results of the survey."
"2024/02/19 2:22:38 PM GMT+1","Jedlíkova 9","Student","2","3","2","1","1","1","Idk how rules works for some kind of students, but there is noise after 22.00. I really dunno what they’re doing but it’s like they killing someone every night or smth like that. And police don’t do anything it’s annoying. Also they are problems with keys to kitchen. Hygiene control is kinda too strict. There is feeling like they don’t know that we are living here and want from us excellent hygiene in our rooms ","5"
"2024/02/19 3:17:28 PM GMT+1","Boženy Němcovej","Student","2","4","3","1","5","3","Nothing ","5"
"2024/02/19 6:26:19 PM GMT+1","Jedlíkova 9","Student","3","2","3","4","1","4","-","3"
"2024/02/19 8:47:20 PM GMT+1","Jedlíkova 9","Student","4","2","4","3","4","5",":)
","5"
"2024/02/19 11:34:43 PM GMT+1","Jedlíkova 13","Long-staying (dlhodobý)","5","2","4","5","4","4","expensive laundry with only two machines","5"
"2024/02/20 12:01:49 AM GMT+1","Jedlíkova 9","Student","1","4","1","2","1","3","Access to the kitchen is a huge problem, because you have to constantly go and ask for keys, which are not always available. 
Also I don’t like the fact that at any moment an inspection can enter the room. And what about personal space? We pay for this hostel with our own money and should not feel indebted to anyone. 
The next moment is the student police, who only occasionally sit and check documents. It should either be done on a permanent basis or never. 
Also a big problem is the garbage cans near the hostel, where everything is scattered and anyone can enter.
 I don't know if this is related to the topic, but subsidies.. Why is it much more profitable to eat in the dining room in the UPJS than in the TUKE","5"
"2024/02/20 6:23:11 AM GMT+1","Jedlíkova 13","Student","4","4","5","5","5","5","all is fine","5"
"2024/02/20 9:40:41 AM GMT+1","Ferka Urbánka","Student","1","1","3","1","1","3","I have to pay for each wash. Аlthough it used to be free","5"
"2024/02/20 10:38:05 AM GMT+1","Jedlíkova 9","Student","1","2","5","3","3","5",".",""
"2024/02/20 11:47:09 AM GMT+1","Jedlíkova 9","Student","2","2","2","3","3","2","access to the kitchen",""
"2024/02/20 12:18:52 PM GMT+1","Jedlíkova 9","Student","3","2","5","5","4","5","I need to ask for a key to access the kitchen. Sometimes I do not get to the key and we starve or need to order meal. Also it is annoying that we always need to ask for a key.","5"
"2024/02/20 1:30:44 PM GMT+1","Jedlíkova 5","Student","5","4","4","2","1","4","-","3"
"2024/02/20 2:18:18 PM GMT+1","Jedlíkova 9","Student","3","3","3","5","5","5","A note to questions 3-5
access system to kitchens,  access system to laundresses and access system to common areas (fitness, gym, etc.)
I dont use any of these facilities so my answers are more of a ""neutral/not eligible for answer""","4"
"2024/02/20 4:45:32 PM GMT+1","Jedlíkova 9","Student","1","5","1","4","4","2","nezabezpečené kontajnerové stojiská, plytvanie elektrickou energiou počas dňa, nedostatočné stráženie vrátnice počas veľkých akcií na internáte (mali by vrátnice policajti kontrolovať už 5 hodín pred začiatkom napr. Jedličky a pod.), staré výťahy, chýbajúci kamerový systém na vrátnici, nedostatočné vybavenie kuchynky, zlý prístup ku kuchynke.","3"
"2024/02/20 7:11:52 PM GMT+1","Jedlíkova 9","Student","1","3","4","4","4","3","Pristup ku kuchyni je velmi zly",""
"2024/02/21 9:45:44 AM GMT+1","Jedlíkova 9","Student","2","3","2","2","3","3","Vypadáva internet, nefunkčné vybavenie v kuchynke","3"
